/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0057 cost= 0.229457632
Epoch: 0058 cost= 0.232099384
Epoch: 0059 cost= 0.224897742
Epoch: 0060 cost= 0.235958934
Epoch: 0061 cost= 0.232193917
Epoch: 0062 cost= 0.243415713
Epoch: 0063 cost= 0.226723894
Epoch: 0064 cost= 0.250007182
Epoch: 0065 cost= 0.221762776
Epoch: 0066 cost= 0.230586454
Epoch: 0067 cost= 0.237648815
Epoch: 0068 cost= 0.220844656
Epoch: 0069 cost= 0.231429189
Epoch: 0070 cost= 0.242921442
Epoch: 0071 cost= 0.220734328
Epoch: 0072 cost= 0.231049359
Epoch: 0073 cost= 0.229227334
Epoch: 0074 cost= 0.222485572
Epoch: 0075 cost= 0.236060858
Epoch: 0076 cost= 0.225398719
Epoch: 0077 cost= 0.223339185
Epoch: 0078 cost= 0.223438889
Epoch: 0079 cost= 0.224272788
Epoch: 0080 cost= 0.213954419
Epoch: 0081 cost= 0.221829683
Epoch: 0082 cost= 0.222733408
Epoch: 0083 cost= 0.223156601
Epoch: 0084 cost= 0.223356560
Epoch: 0085 cost= 0.217653781
Epoch: 0086 cost= 0.224375889
Epoch: 0087 cost= 0.222834736
Epoch: 0088 cost= 0.225410044
Epoch: 0089 cost= 0.219990283
Epoch: 0090 cost= 0.218971252
Epoch: 0091 cost= 0.228914768
Epoch: 0092 cost= 0.235094875
Epoch: 0093 cost= 0.217395365
Epoch: 0094 cost= 0.216531903
Epoch: 0095 cost= 0.216322243
Epoch: 0096 cost= 0.214182854
Epoch: 0097 cost= 0.225472480
Epoch: 0098 cost= 0.216564298
Epoch: 0099 cost= 0.217403352
Epoch: 0100 cost= 0.221624479
Epoch: 0101 cost= 0.218807995
Epoch: 0102 cost= 0.218501359
Epoch: 0103 cost= 0.222559527
Epoch: 0104 cost= 0.229518801
Epoch: 0105 cost= 0.219222903
Epoch: 0106 cost= 0.221321583
Epoch: 0107 cost= 0.210697904
Epoch: 0108 cost= 0.223872304
Epoch: 0109 cost= 0.240275294
Epoch: 0110 cost= 0.218355522
Epoch: 0111 cost= 0.223952800
Epoch: 0112 cost= 0.226548791
Epoch: 0113 cost= 0.227046192
Epoch: 0114 cost= 0.218060777
Epoch: 0115 cost= 0.212017044
Epoch: 0116 cost= 0.237438872
Epoch: 0117 cost= 0.236175671
Epoch: 0118 cost= 0.222718403
Epoch: 0119 cost= 0.210581049
Epoch: 0120 cost= 0.217196524
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9995271867612293
Accuracy is 0.9735553379040157
Accuracy is 0.9866595517609391
Reloading previous weights after core set training
creating a new head
Current task: 3
Epoch: 0001 cost= 1.057323098
Epoch: 0002 cost= 0.738055825
Epoch: 0003 cost= 0.650273561
Epoch: 0004 cost= 0.491103917
Epoch: 0005 cost= 0.384365529
Epoch: 0006 cost= 0.337324083
Epoch: 0007 cost= 0.290630400
Epoch: 0008 cost= 0.266025633
Epoch: 0009 cost= 0.229519919
Epoch: 0010 cost= 0.220395759
Epoch: 0011 cost= 0.225700974
Epoch: 0012 cost= 0.212041691
Epoch: 0013 cost= 0.213005438
Epoch: 0014 cost= 0.211438537
Epoch: 0015 cost= 0.220036805
Epoch: 0016 cost= 0.216585174
Epoch: 0017 cost= 0.218618929
Epoch: 0018 cost= 0.219684780
Epoch: 0019 cost= 0.219518200
Epoch: 0020 cost= 0.219815344
Epoch: 0021 cost= 0.217660621
Epoch: 0022 cost= 0.220932990
Epoch: 0023 cost= 0.217291981
Epoch: 0024 cost= 0.216514066
Epoch: 0025 cost= 0.216685161
Epoch: 0026 cost= 0.214196831
Epoch: 0027 cost= 0.212198302
Epoch: 0028 cost= 0.211803257
Epoch: 0029 cost= 0.206783563
Epoch: 0030 cost= 0.204573691
Epoch: 0031 cost= 0.207996294
Epoch: 0032 cost= 0.202924177
Epoch: 0033 cost= 0.198617250
Epoch: 0034 cost= 0.195369631
Epoch: 0035 cost= 0.194735795
Epoch: 0036 cost= 0.194380656
Epoch: 0037 cost= 0.189518064
Epoch: 0038 cost= 0.189112425
Epoch: 0039 cost= 0.186322987
Epoch: 0040 cost= 0.183675617
Epoch: 0041 cost= 0.181706309
Epoch: 0042 cost= 0.187023491
Epoch: 0043 cost= 0.185662836
Epoch: 0044 cost= 0.180352062
Epoch: 0045 cost= 0.179552332
Epoch: 0046 cost= 0.176527128
Epoch: 0047 cost= 0.181338340
Epoch: 0048 cost= 0.174806356
Epoch: 0049 cost= 0.173308924
Epoch: 0050 cost= 0.171867803
Epoch: 0051 cost= 0.175432533
Epoch: 0052 cost= 0.168195203
Epoch: 0053 cost= 0.166263580
Epoch: 0054 cost= 0.166181535
Epoch: 0055 cost= 0.175716281
Epoch: 0056 cost= 0.168952256
Epoch: 0057 cost= 0.164392114
Epoch: 0058 cost= 0.164277807
Epoch: 0059 cost= 0.165284812
Epoch: 0060 cost= 0.166395932
Epoch: 0061 cost= 0.168855608
Epoch: 0062 cost= 0.166357160
Epoch: 0063 cost= 0.169818193
Epoch: 0064 cost= 0.159431934
Epoch: 0065 cost= 0.163450152
Epoch: 0066 cost= 0.162520781
Epoch: 0067 cost= 0.173836872
Epoch: 0068 cost= 0.163836807
Epoch: 0069 cost= 0.161464065
Epoch: 0070 cost= 0.160060227
Epoch: 0071 cost= 0.162603691
Epoch: 0072 cost= 0.169920400
Epoch: 0073 cost= 0.162770554
Epoch: 0074 cost= 0.165248752
Epoch: 0075 cost= 0.161935300
Epoch: 0076 cost= 0.165410712
Epoch: 0077 cost= 0.163939983
Epoch: 0078 cost= 0.159723148
Epoch: 0079 cost= 0.159695029
Epoch: 0080 cost= 0.160797641
Epoch: 0081 cost= 0.161555365
Epoch: 0082 cost= 0.171045586
Epoch: 0083 cost= 0.157657430
Epoch: 0084 cost= 0.161861822
Epoch: 0085 cost= 0.159015656
Epoch: 0086 cost= 0.156982407
Epoch: 0087 cost= 0.160694540
Epoch: 0088 cost= 0.162850976
Epoch: 0089 cost= 0.160790518
Epoch: 0090 cost= 0.161736459
Epoch: 0091 cost= 0.163291931
Epoch: 0092 cost= 0.160082191
Epoch: 0093 cost= 0.158463538
Epoch: 0094 cost= 0.155727699
Epoch: 0095 cost= 0.157951772
Epoch: 0096 cost= 0.155854747
Epoch: 0097 cost= 0.154255256
Epoch: 0098 cost= 0.160042033
Epoch: 0099 cost= 0.154601619
Epoch: 0100 cost= 0.154403090
Epoch: 0101 cost= 0.155224264
Epoch: 0102 cost= 0.158567742
Epoch: 0103 cost= 0.156686723
Epoch: 0104 cost= 0.157635361
Epoch: 0105 cost= 0.156926244
Epoch: 0106 cost= 0.154641628
Epoch: 0107 cost= 0.164108247
Epoch: 0108 cost= 0.157313973
Epoch: 0109 cost= 0.152302787
Epoch: 0110 cost= 0.161217272
Epoch: 0111 cost= 0.158316344
Epoch: 0112 cost= 0.162565321
Epoch: 0113 cost= 0.159664199
Epoch: 0114 cost= 0.152987748
Epoch: 0115 cost= 0.156380892
Epoch: 0116 cost= 0.157880560
Epoch: 0117 cost= 0.159818873
Epoch: 0118 cost= 0.161043808
Epoch: 0119 cost= 0.156550840
Epoch: 0120 cost= 0.165280685
Optimization Finished!
updating prior...
Saving weights before core set training
Accuracy is 0.9985815602836879
Accuracy is 0.9622918707149853
Accuracy is 0.9898612593383138
Accuracy is 0.9949647532729103
Reloading previous weights after core set training
creating a new head
Current task: 4
Epoch: 0001 cost= 1.051648378
Epoch: 0002 cost= 0.709959745
Epoch: 0003 cost= 0.592214227
Epoch: 0004 cost= 0.640239418
Epoch: 0005 cost= 0.418576926
Epoch: 0006 cost= 0.385946631
Epoch: 0007 cost= 0.328318477
Epoch: 0008 cost= 0.345747530
Epoch: 0009 cost= 0.325319886
Epoch: 0010 cost= 0.330803335
Epoch: 0011 cost= 0.309978217
Epoch: 0012 cost= 0.304671019
Epoch: 0013 cost= 0.301841736
Epoch: 0014 cost= 0.297316730
Epoch: 0015 cost= 0.310014367
Epoch: 0016 cost= 0.321740925
Epoch: 0017 cost= 0.303869158
Epoch: 0018 cost= 0.299506575
Epoch: 0019 cost= 0.286122411
Epoch: 0020 cost= 0.294793099
Epoch: 0021 cost= 0.284922630
Epoch: 0022 cost= 0.295887977
Epoch: 0023 cost= 0.283048332
Epoch: 0024 cost= 0.294251710
Epoch: 0025 cost= 0.282293886
Epoch: 0026 cost= 0.279175371
Epoch: 0027 cost= 0.288110167
Epoch: 0028 cost= 0.265829235
Epoch: 0029 cost= 0.268114358
Epoch: 0030 cost= 0.273735404
Epoch: 0031 cost= 0.269108564
Epoch: 0032 cost= 0.266218007
Epoch: 0033 cost= 0.255689561
Epoch: 0034 cost= 0.272060633
Epoch: 0035 cost= 0.256507158
Epoch: 0036 cost= 0.268520474
Epoch: 0037 cost= 0.253594518
Epoch: 0038 cost= 0.270474076
Epoch: 0039 cost= 0.261169940
Epoch: 0040 cost= 0.256993800
Epoch: 0041 cost= 0.273119986
Epoch: 0042 cost= 0.259029150
Epoch: 0043 cost= 0.252302438
